"Weight" "Wing.Length" "Bill.Depth" "Head.and.Bill.Length" "Sex"
"189" 920 428 20 128 "Male"
"190" 965 426 18 119 "Male"
"191" 1085 426 19.4 128 "Male"
"192" 1075 442 21.8 133 "Male"
"193" 1035 435 19.6 122 "Male"
"194" 1145 430 19.6 133 "Male"
"195" 1070 427 19.1 123 "Male"
"196" 1065 433 19.6 127 "Male"
"197" 915 415 18.4 125 "Male"
"198" 1110 445 19.2 127 "Male"
"199" 1100 424 20.4 129 "Male"
"200" 1050 437 18.8 125 "Male"
"201" 1000 427 20.2 122 "Male"
"202" 1110 437 20.3 126 "Male"
"203" 870 433 18.5 124 "Male"
"204" 1070 442 20.9 119 "Male"
"205" 1030 415 18.9 121 "Male"
"206" 1120 444 20.4 127 "Male"
"207" 965 421 18.9 122 "Male"
"208" 1055 442 19 128 "Male"
"209" 925 411 19 126 "Male"
"210" 1090 444 19.9 134 "Male"
"211" 890 430 20.1 132 "Male"
"212" 1195 420 19.1 128 "Female"
"213" 990 404 17.1 115 "Female"
"214" 1115 443 20.4 128 "Male"
"215" 850 417 18.4 117 "Female"
"216" 915 413 17.6 112 "Female"
"217" 1160 422 19.2 125 "Male"
"218" 875 404 16.9 110 "Female"
"219" 1035 431 20.1 127 "Male"
"220" 1000 430 17.5 116 "Female"
"221" 1175 427 19.8 125 "Female"
"222" 880 399 18.4 117 "Female"
"223" 1170 433 19.1 131 "Male"
"224" 975 435 19.7 125 "Female"
"225" 890 408 17.5 113 "Female"
"226" 895 406 17.1 116 "Female"
"227" 1210 437 20.6 136 "Male"
"228" 970 426 17.7 119 "Female"
"229" 860 406 17.9 114 "Female"
"230" 895 412 17.1 118 "Female"
"231" 1040 421 19.4 128 "Male"
"232" 855 416 17.3 116 "Female"
"233" 920 402 17.7 112 "Female"
"234" 845 418 17.3 114 "Female"
"235" 1020 437 19.7 123 "Male"
"236" 845 418 17.9 119 "Female"
"237" 905 415 17.9 118 "Female"
"238" 1095 426 19.7 128 "Male"
"239" 1000 430 19.8 130 "Male"
"240" 1125 449 19.4 131 "Male"
"241" 1070 422 17.8 119 "Male"
"242" 850 418 17.1 119 "Female"
"243" 1120 427 19.3 128 "Male"
"244" 1000 427 18.7 119 "Female"
"245" 990 427 19 129 "Male"
"246" 1065 405 18.1 117 "Female"
"247" 1200 430 20.3 128 "Male"
"248" 905 424 18.3 121 "Female"
"249" 1050 420 19.6 127 "Male"
"250" 1075 415 19.3 127 "Male"
"251" 1060 430 19.3 125 "Male"
"252" 995 437 18.7 128 "Male"
"253" 910 420 17.7 119 "Female"
"254" 1250 448 21 134 "Male"
"255" 1090 439 19.9 129 "Male"
"256" 1040 428 20.1 128 "Male"
"257" 850 405 18.2 110 "Female"
"258" 1130 439 19.2 129 "Male"
"259" 815 402 16.5 115 "Female"
"260" 1085 431 19.9 127 "Male"
"261" 1020 423 18.9 117 "Female"
"262" 925 413 18.1 118 "Female"
"263" 820 404 18.1 116 "Female"
"264" 1085 426 19.7 126 "Male"
"265" 950 423 17.9 118 "Female"
"266" 960 421 19.7 123 "Male"
"267" 1135 432 22.5 131 "Male"
"268" 1105 419 20.3 126 "Male"
"269" 1020 424 19.7 125 "Male"
"270" 1110 432 18.9 124 "Male"
"271" 1155 432 20 129 "Male"
"272" 900 414 17.7 113 "Female"
"273" 1170 457 19.7 130 "Male"
"274" 930 405 17.7 116 "Female"
"275" 905 432 18.7 119 "Male"
"276" 1145 426 20 121 "Male"
"277" 1165 438 19.7 113 "Male"
"278" 1095 429 20.8 126 "Male"
"279" 990 422 18.3 121 "Female"
"280" 870 403 17.7 114 "Female"
"281" 1070 418 18.9 125 "Male"
"282" 1205 436 19.7 130 "Male"
"283" 1110 428 19 129 "Male"
"284" 885 418 18.7 116 "Female"
"285" 1130 427 19.9 132 "Male"
"286" 950 418 18.2 115 "Female"
"287" 1180 430 19.4 119 "Male"
"288" 1120 439 20.2 128 "Male"
"289" 900 418 18.7 118 "Female"
"290" 755 414 17.9 111 "Female"
"291" 1145 436 19.8 127 "Male"
"292" 825 405 17.7 117 "Female"
"293" 865 412 17.3 110 "Female"
"294" 935 407 18.1 108 "Female"
"295" 1045 442 19.7 126 "Male"
"296" 870 414 17.3 118 "Female"
"297" 800 408 18.1 119 "Female"
"298" 935 406 18 119 "Female"
"299" 1020 444 20.5 129 "Male"
"300" 950 408 17.9 119 "Female"
"301" 770 414 18.2 116 "Female"
"302" 865 415 17.3 116 "Female"
"303" 1030 435 19 126 "Male"
"304" 865 425 18.3 119 "Female"
"305" 945 424 18.2 118 "Female"
"306" 805 422 16.8 119 "Female"
"307" 1130 436 20 121 "Male"
"308" 775 411 17.8 119 "Female"
"309" 1020 425 16.8 116 "Female"
"310" 1010 411 18.4 118 "Female"
"311" 1015 402 19.3 121 "Female"
"312" 815 409 16.9 103 "Female"
"313" 1105 445 20.2 124 "Male"
"314" 960 416 18.2 115 "Female"
"315" 790 408 17.7 115 "Female"
"316" 1115 435 19.3 127 "Male"
"317" 820 399 17.5 113 "Female"
"318" 945 411 18.4 113 "Female"
"319" 815 407 16 110 "Female"
"320" 865 422 18.9 114 "Female"
"321" 960 407 18.7 120 "Female"
"322" 885 405 18.5 118 "Female"
"323" 790 413 17.3 115 "Female"
"324" 990 428 17.9 118 "Female"
"325" 885 409 18 114 "Female"
"326" 855 415 17.6 115 "Female"
"327" 860 407 18.1 116 "Female"
"328" 930 412 18.5 119 "Female"
"329" 800 406 17.5 106 "Female"
"330" 845 411 18.1 117 "Female"
"331" 940 421 17.8 114 "Female"
"332" 870 402 16.5 115 "Female"
"333" 905 422 18.2 115 "Female"
"334" 965 414 18.4 121 "Female"
"335" 915 422 17.7 108 "Female"
"336" 885 414 16.8 112 "Female"
"337" 915 417 17.6 120 "Female"
"338" 845 402 17.6 116 "Female"
"339" 900 420 19.1 115 "Female"
"340" 935 414 17.6 121 "Female"
"341" 890 398 17.6 123 "Female"
"342" 910 411 17.9 116 "Female"
"343" 865 413 17.9 116 "Female"
"344" 915 416 17.5 115 "Female"
"345" 830 425 19 115 "Female"
"346" 840 411 17.2 114 "Female"
"347" 865 406 18.7 117 "Female"
"348" 855 406 17 120 "Female"
"349" 985 406 18.1 121 "Female"
"350" 865 419 17.1 116 "Female"
"351" 1000 399 18 121 "Female"
"352" 915 403 18 121 "Female"
"353" 820 410 16.9 117 "Female"
"354" 900 410 17.4 115 "Female"
"355" 845 409 17.7 113 "Female"
"356" 1010 435 20.2 122 "Male"
"357" 870 422 18.1 116 "Female"
"358" 1115 429 19.4 126 "Male"
"359" 1100 431 18.8 128 "Male"
"360" 870 399 16.1 110 "Female"
"361" 880 427 18.6 116 "Female"
"362" 925 422 18.1 118 "Female"
"363" 890 401 18.8 114 "Female"
